seq_id	ref_donor_upstream	ref_acceptor_downstream	target_coordinates	exon_group	CELF1	DAZAP1	FMR1	FUS	HNRNPA1	HNRNPA2B1	HNRNPC	HNRNPF	HNRNPH1	HNRNPK	HNRNPL	HNRNPLL	HNRNPM	HNRNPU	KHDRBS1	KHSRP	MATR3	NONO	PCBP1	PCBP2	PTBP1	QKI	RBFOX2	RBM5	SART3	SF1	SFPQ	SNRNP70	SRSF1	SRSF3	SRSF5	SRSF7	SRSF9	TARDBP	TIA1	TRA2A	U2AF2	ZRANB2	average_cassette_strength
chr19:14564649-14565590(+)_ENST00000215567	0.9763034582138062	0.996797263622284	chr19:14565066-14565123	CTRL	0.004250797024442083	0.0	0.0	0.0	0.005313496280552604	0.0	0.0	0.03506907545164718	0.028692879914984058	0.04994686503719448	0.0	0.0	0.0	0.0	0.0	0.005313496280552604	0.0	0.0010626992561105207	0.003188097768331562	0.008501594048884165	0.008501594048884165	0.0	0.0	0.0	0.0	0.0	0.0010626992561105207	0.0	0.004250797024442083	0.007438894792773645	0.0021253985122210413	0.0	0.005313496280552604	0.0	0.0	0.0	0.0	0.0	0.9957649111747742
chr17:1744692-1745695(+)_ENST00000453066	0.9055078625679016	0.8679107427597046	chr17:1745175-1745213	CTRL	0.0019940179461615153	0.0	0.0009970089730807576	0.0	0.004985044865403789	0.0	0.0	0.05682951146560319	0.05583250249252243	0.027916251246261216	0.0	0.0	0.0	0.0	0.0	0.0019940179461615153	0.0	0.0029910269192422734	0.0019940179461615153	0.0009970089730807576	0.0019940179461615153	0.0	0.0019940179461615153	0.0	0.0	0.0	0.0	0.0	0.013958125623130608	0.004985044865403789	0.0029910269192422734	0.0	0.010967098703888335	0.0	0.0	0.0	0.0	0.0	0.8813381493091583
chr19:12679157-12680222(-)_ENST00000210060	0.998314082622528	0.9902290105819702	chr19:12679623-12679719	CTRL	0.0009389671361502347	0.0	0.0009389671361502347	0.0	0.010328638497652582	0.0018779342723004694	0.0009389671361502347	0.02535211267605634	0.023474178403755867	0.018779342723004695	0.0	0.0	0.0	0.0	0.0	0.0018779342723004694	0.0	0.0	0.0	0.0	0.0028169014084507044	0.0	0.0	0.0018779342723004694	0.0	0.0	0.0018779342723004694	0.0009389671361502347	0.012206572769953052	0.007511737089201878	0.006572769953051643	0.0009389671361502347	0.013145539906103286	0.0009389671361502347	0.0028169014084507044	0.0	0.0	0.0	0.9943916201591492
chr1:43364024-43365094(-)_ENST00000464204	0.9627714157104492	0.9885053634643556	chr1:43364615-43364647	CTRL	0.0009345794392523365	0.0	0.0	0.0	0.004672897196261682	0.0009345794392523365	0.0	0.02149532710280374	0.016822429906542057	0.04205607476635514	0.0	0.0009345794392523365	0.0	0.0	0.0	0.0009345794392523365	0.0	0.002803738317757009	0.0	0.001869158878504673	0.016822429906542057	0.0	0.0009345794392523365	0.0	0.0	0.0	0.0009345794392523365	0.0	0.010280373831775701	0.01588785046728972	0.001869158878504673	0.0	0.002803738317757009	0.0009345794392523365	0.0	0.0	0.0	0.0	0.7083514332771301
chr8:144317795-144318866(-)_ENST00000528718	0.9733848571777344	0.9891855120658876	chr8:144318261-144318362	CTRL	0.007469654528478058	0.0	0.0009337068160597573	0.0	0.008403361344537815	0.0	0.0	0.021475256769374416	0.02054154995331466	0.0392156862745098	0.0	0.0	0.0	0.0	0.0	0.0009337068160597573	0.0	0.0009337068160597573	0.0009337068160597573	0.003734827264239029	0.009337068160597572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007469654528478058	0.008403361344537815	0.0028011204481792717	0.0	0.007469654528478058	0.0	0.0	0.0	0.0	0.0	0.9481661021709442
chr1:16757916-16759011(-)_ENST00000455405	0.072089597582817	0.2111844569444656	chr1:16758466-16758586	CTRL	0.0009132420091324201	0.0	0.0	0.0	0.00821917808219178	0.0	0.0	0.0182648401826484	0.01643835616438356	0.043835616438356165	0.0	0.0	0.0	0.0	0.0	0.0018264840182648401	0.0	0.0	0.0018264840182648401	0.0027397260273972603	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662100456621	0.0091324200913242	0.0036529680365296802	0.0009132420091324201	0.01004566210045662	0.0	0.0	0.0	0.0	0.0	0.6840391457080841
chr19:19121008-19122119(-)_ENST00000162044	0.9714563488960266	0.9940667152404784	chr19:19121525-19121668	CTRL	0.0054005400540054005	0.0	0.0	0.0	0.009000900090009001	0.0009000900090009	0.0	0.043204320432043204	0.0387038703870387	0.0315031503150315	0.0	0.0009000900090009	0.0	0.0	0.0	0.008100810081008101	0.0009000900090009	0.0063006300630063005	0.0	0.0027002700270027003	0.0018001800180018	0.0	0.0	0.0	0.0	0.0	0.0009000900090009	0.0	0.008100810081008101	0.004500450045004501	0.0027002700270027003	0.0009000900090009	0.008100810081008101	0.0	0.0	0.0	0.0	0.0	0.9717598855495453
chr2:74505437-74506552(-)_ENST00000233630	0.9941482543945312	0.9870051145553588	chr2:74505952-74506057	CTRL	0.0008968609865470852	0.0	0.0	0.0	0.008071748878923767	0.0008968609865470852	0.0017937219730941704	0.025112107623318385	0.028699551569506727	0.030493273542600896	0.0	0.0008968609865470852	0.0	0.0	0.0008968609865470852	0.0053811659192825115	0.0	0.0017937219730941704	0.0017937219730941704	0.003587443946188341	0.0053811659192825115	0.0	0.0	0.0	0.0	0.0	0.0008968609865470852	0.0	0.0053811659192825115	0.008071748878923767	0.003587443946188341	0.0	0.011659192825112108	0.0	0.0	0.0	0.0	0.0	0.9842869341373444
chr19:35730042-35731167(+)_ENST00000420124	0.9992511868476868	0.9662270545959472	chr19:35730538-35730616	CTRL	0.0017777777777777779	0.0	0.0	0.0	0.0044444444444444444	0.0008888888888888889	0.0	0.020444444444444446	0.019555555555555555	0.034666666666666665	0.0	0.0	0.0	0.0	0.0	0.0017777777777777779	0.0	0.0035555555555555557	0.0008888888888888889	0.0035555555555555557	0.012444444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044444444444444444	0.010666666666666666	0.0026666666666666666	0.0008888888888888889	0.0035555555555555557	0.0	0.0	0.0	0.0	0.0	0.8703778684139252
chr17:81192018-81193143(-)_ENST00000450824	0.9005265235900879	0.9910663366317748	chr17:81192476-81192593	CTRL	0.0044444444444444444	0.0	0.0008888888888888889	0.0	0.011555555555555555	0.0	0.0	0.036444444444444446	0.035555555555555556	0.029333333333333333	0.0	0.0	0.0	0.0	0.0	0.0017777777777777779	0.0	0.0044444444444444444	0.0	0.0026666666666666666	0.0044444444444444444	0.0	0.0	0.0008888888888888889	0.0	0.0	0.0	0.0008888888888888889	0.015111111111111112	0.0026666666666666666	0.0026666666666666666	0.0	0.018666666666666668	0.0	0.0	0.0	0.0	0.0	0.8318905830383301
